text,sentiment
dishonor,negative
disillusion,negative
disinterest,negative
dismal,negative
dismay,negative
disobey,negative
disquiet,negative
disregard,negative
disrespect,negative
disrupt,negative
diss,negative
dissent,negative
distort,negative
distract,negative
distraught,negative
distress,negative
distrust,negative
disturb,negative
doom,negative
dope,negative
doubt,negative
douchebag,negative
downcast,negative
downturn,negative
draconian,negative
drag,negative
drain,negative
drastic,negative
dread,negative
drought,negative
drunk,negative
drunken,negative
dubious,negative
dud,negative
dull,negative
dumb,negative
dump,negative
dungeon,negative
dust,negative
embarrass,negative
embroil,negative
engulf,negative
enjoin,negative
err,negative
error,negative
eschew,negative
evil,negative
exhaust,negative
exhort,negative
expel,negative
exploit,negative
extinguish,negative
extort,negative
extremist,negative
fail,negative
faint,negative
faithless,negative
fake,negative
fall,negative
fallen,negative
fallout,negative
falsehood,negative
falter,negative
fanatic,negative
fascism,negative
fascist,negative
fat,negative
fatal,negative
fatuous,negative
fault,negative
fear,negative
feign,negative
fell,negative
felon,negative
fever,negative
feverish,negative
fiasco,negative
fiction,negative
fiendish,negative
filth,negative
fist,negative
flagrant,negative
flak,negative
flake,negative
flakey,negative
flare,negative
flaunt,negative
flaw,negative
flee,negative
flirt,negative
flounder,negative
flout,negative
foe,negative
fool,negative
foolish,negative
forbid,negative
forbidden,negative
forfeit,negative
forlorn,negative
forsaken,negative
foul,negative
fractious,negative
frantic,negative
fraud,negative
freak,negative
fret,negative
friction,negative
fright,negative
frighten,negative
frigid,negative
frost,negative
frozen,negative
fruitless,negative
fuck,negative
fume,negative
furious,negative
furor,negative
fuss,negative
gaff,negative
gall,negative
gangster,negative
gape,negative
garish,negative
gasp,negative
ghetto,negative
gibberish,negative
glare,negative
glib,negative
glitch,negative
gloom,negative
glut,negative
gossip,negative
graft,negative
grate,negative
greed,negative
grief,negative
grievous,negative
grim,negative
grind,negative
gross,negative
grouch,negative
groundless,negative
growl,negative
guilt,negative
gutter,negative
hack,negative
hamper,negative
hang,negative
haphazard,negative
hapless,negative
harass,negative
hard,negative
harden,negative
hardship,negative
harm,negative
harrow,negative
harsh,negative
hate,negative
hater,negative
haunt,negative
havoc,negative
hazard,negative
haze,negative
heck,negative
hectic,negative
heedless,negative
heinous,negative
hell,negative
helpless,negative
hideous,negative
hinder,negative
hiss,negative
hoard,negative
hoax,negative
hollow,negative
hooligan,negative
hopeless,negative
horrid,negative
huckster,negative
hum,negative
humid,negative
hung,negative
hurt,negative
hype,negative
hysteria,negative
idiot,negative
illicit,negative
impair,negative
impeach,negative
imperfect,negative
imperialist,negative
imperil,negative
impoverish,negative
imprison,negative
inapt,negative
incorrect,negative
inept,negative
inferior,negative
infest,negative
infidel,negative
infirm,negative
inflict,negative
inhibit,negative
inhuman,negative
innuendo,negative
insular,negative
insult,negative
interrupt,negative
invalid,negative
ire,negative
irk,negative
irregular,negative
itch,negative
jabber,negative
jam,negative
jealous,negative
jeer,negative
jerk,negative
jobless,negative
joke,negative
jolt,negative
junk,negative
junkyard,negative
kill,negative
killer,negative
knife,negative
knock,negative
lack,negative
lackey,negative
lag,negative
lambast,negative
lame,negative
lament,negative
lawless,negative
leak,negative
leech,negative
leer,negative
lemon,negative
lethal,negative
lewd,negative
liar,negative
lie,negative
lifeless,negative
limit,negative
limp,negative
livid,negative
loath,negative
lone,negative
loner,negative
loot,negative
lose,negative
loser,negative
loss,negative
lost,negative
loud,negative
louder,negative
lukewarm,negative
lull,negative
lurch,negative
lure,negative
lurk,negative
mad,negative
madden,negative
malign,negative
mania,negative
maniac,negative
mar,negative
martyrdom,negative
meager,negative
meaningless,negative
meltdown,negative
merciless,negative
mess,negative
mindless,negative
mire,negative
misbehavior,negative
mischief,negative
miscreant,negative
miser,negative
mishap,negative
misinform,negative
misinterpret,negative
mislead,negative
misread,negative
misrepresent,negative
miss,negative
mist,negative
mistaken,negative
mistress,negative
mistrust,negative
misunderstand,negative
misunderstood,negative
moan,negative
mock,negative
molest,negative
monster,negative
monstrous,negative
moot,negative
moron,negative
mourn,negative
mourner,negative
murder,negative
myth,negative
nag,negative
needless,negative
neglect,negative
nervous,negative
nitpick,negative
noxious,negative
numb,negative
object,negative
obsess,negative
obstruct,negative
obstruction,negative
odd,negative
odor,negative
offend,negative
omit,negative
onslaught,negative
oppress,negative
ordeal,negative
orphan,negative
outbreak,negative
outburst,negative
outlaw,negative
overblown,negative
overdo,negative
overlook,negative
overpaid,negative
overplay,negative
overreach,negative
overrun,negative
overshadow,negative
oversight,negative
overthrow,negative
overturn,negative
overweight,negative
overwhelm,negative
pain,negative
pale,negative
pan,negative
pandemonium,negative
pander,negative
panic,negative
panick,negative
paranoia,negative
paranoid,negative
pariah,negative
partisan,negative
pauper,negative
peculiar,negative
peril,negative
perish,negative
pervert,negative
pest,negative
phobia,negative
phobic,negative
pig,negative
pinch,negative
plea,negative
pleas,negative
plight,negative
plot,negative
ploy,negative
plunder,negative
pointless,negative
poison,negative
pompous,negative
poor,negative
poorest,negative
powerless,negative
pretend,negative
prison,negative
problem,negative
prohibit,negative
propaganda,negative
protest,negative
punch,negative
punish,negative
punk,negative
puppet,negative
quack,negative
qualm,negative
quarrel,negative
queer,negative
rabid,negative
racism,negative
racist,negative
rage,negative
rail,negative
rampant,negative
rancor,negative
rant,negative
rape,negative
rash,negative
recant,negative
reckless,negative
recoil,negative
regress,negative
regret,negative
reject,negative
relentless,negative
repel,negative
repress,negative
reprimand,negative
reproach,negative
resent,negative
restless,negative
restrict,negative
retard,negative
retract,negative
retreat,negative
revert,negative
revolt,negative
rife,negative
rift,negative
rile,negative
rip,negative
risk,negative
rival,negative
rot,negative
rotten,negative
rough,negative
rubbish,negative
rude,negative
rue,negative
ruin,negative
ruinous,negative
rumor,negative
runaway,negative
rust,negative
ruthless,negative
sack,negative
sad,negative
sadden,negative
sap,negative
sarcasm,negative
sass,negative
scam,negative
scandal,negative
scant,negative
scapegoat,negative
scar,negative
scare,negative
scariest,negative
scoff,negative
scold,negative
scorn,negative
scoundrel,negative
scowl,negative
scrap,negative
scratch,negative
scream,negative
screech,negative
scum,negative
selfish,negative
senseless,negative
setback,negative
sever,negative
shake,negative
shallow,negative
sham,negative
shame,negative
shameless,negative
shark,negative
shatter,negative
shirk,negative
shit,negative
shiver,negative
shock,negative
showdown,negative
shrew,negative
shriek,negative
shrill,negative
shroud,negative
shrug,negative
shun,negative
sick,negative
sicken,negative
sidetrack,negative
sin,negative
sink,negative
skeptic,negative
skulk,negative
slack,negative
slander,negative
slap,negative
slaughter,negative
slave,negative
slime,negative
sloth,negative
slow,negative
slower,negative
slowest,negative
sluggish,negative
slump,negative
slur,negative
slut,negative
smack,negative
smash,negative
smear,negative
smell,negative
smoke,negative
smokescreen,negative
smug,negative
snag,negative
snare,negative
snarl,negative
sneak,negative
sneer,negative
snub,negative
sob,negative
sober,negative
solemn,negative
somber,negative
sore,negative
sorrow,negative
sour,negative
spade,negative
spank,negative
spew,negative
spite,negative
splatter,negative
split,negative
spoil,negative
spook,negative
spurious,negative
spurn,negative
squander,negative
squash,negative
squeak,negative
squeal,negative
squirm,negative
stab,negative
stagnant,negative
stain,negative
stall,negative
stark,negative
static,negative
steal,negative
steep,negative
stench,negative
stern,negative
stew,negative
stiff,negative
stigma,negative
sting,negative
stink,negative
stole,negative
stolen,negative
strain,negative
stranger,negative
strenuous,negative
stress,negative
stricken,negative
strict,negative
strident,negative
strife,negative
strike,negative
struck,negative
stubborn,negative
stuck,negative
stump,negative
stun,negative
stunt,negative
stupid,negative
stupor,negative
subpoena,negative
subtract,negative
subvert,negative
succumb,negative
suck,negative
sucker,negative
sue,negative
suffer,negative
sulk,negative
sunk,negative
suppress,negative
suspect,negative
suspicion,negative
swagger,negative
swipe,negative
swollen,negative
symptom,negative
taboo,negative
taint,negative
tamper,negative
tank,negative
tantrum,negative
tarnish,negative
taunt,negative
tedious,negative
temper,negative
tension,negative
tepid,negative
terror,negative
terrorism,negative
thicker,negative
thirst,negative
thoughtless,negative
thrash,negative
threat,negative
threaten,negative
thug,negative
thwart,negative
timid,negative
toil,negative
toll,negative
torment,negative
torrent,negative
tortuous,negative
totalitarian,negative
tout,negative
toxic,negative
tragic,negative
traitor,negative
tramp,negative
transgress,negative
trap,negative
trash,negative
trauma,negative
treason,negative
trick,negative
trivial,negative
turmoil,negative
twist,negative
tyrant,negative
ugh,negative
uglier,negative
ugliest,negative
ulterior,negative
ultimatum,negative
uncertain,negative
unclean,negative
unclear,negative
undercut,negative
underdog,negative
underpaid,negative
unfamiliar,negative
unfit,negative
unjust,negative
unknown,negative
unleash,negative
unorthodox,negative
unpopular,negative
unravel,negative
unrest,negative
unwilling,negative
uproar,negative
uproot,negative
upset,negative
urgent,negative
useless,negative
usurp,negative
vain,negative
vehement,negative
venom,negative
vent,negative
vex,negative
vice,negative
vicious,negative
vile,negative
violent,negative
virus,negative
vomit,negative
vulgar,negative
wack,negative
wail,negative
wallow,negative
wane,negative
wanton,negative
warp,negative
weak,negative
weaken,negative
weaker,negative
weed,negative
weep,negative
weird,negative
whimper,negative
whine,negative
whore,negative
wicked,negative
wild,negative
wilt,negative
woe,negative
worn,negative
worsen,negative
worst,negative
worthless,negative
wound,negative
wrath,negative
wreak,negative
wreck,negative
wrest,negative
wretch,negative
wrong,negative
wrought,negative
yawn,negative
zap,negative
zealot,negative
acclaim,positive
accomplish,positive
affection,positive
affirm,positive
affluent,positive
afford,positive
angel,positive
appeal,positive
applaud,positive
ardent,positive
astonish,positive
astound,positive
avid,positive
award,positive
awe,positive
bargain,positive
benefactor,positive
benefit,positive
best,positive
better,positive
bless,positive
bliss,positive
blossom,positive
bolster,positive
bonus,positive
boom,positive
boost,positive
boundless,positive
brave,positive
bravo,positive
breakthrough,positive
bright,positive
brighten,positive
brighter,positive
brightest,positive
brilliant,positive
bullish,positive
calm,positive
champ,positive
champion,positive
charisma,positive
charm,positive
cheaper,positive
cheapest,positive
cheer,positive
cherish,positive
chic,positive
classic,positive
clean,positive
cleaner,positive
clear,positive
clearer,positive
clever,positive
comfort,positive
commend,positive
compact,positive
compliant,positive
compliment,positive
cool,positive
coolest,positive
correct,positive
courteous,positive
cure,positive
cute,positive
dawn,positive
decent,positive
defeat,positive
deft,positive
delight,positive
devout,positive
doubtless,positive
eager,positive
earnest,positive
easier,positive
easiest,positive
effortless,positive
embolden,positive
empower,positive
enjoy,positive
enlighten,positive
enliven,positive
enrich,positive
entertain,positive
enthusiasm,positive
enthusiast,positive
entrust,positive
exalt,positive
exceed,positive
excel,positive
exemplar,positive
extol,positive
exult,positive
fair,positive
faith,positive
fame,positive
famous,positive
fast,positive
faster,positive
fastest,positive
favor,positive
favour,positive
fearless,positive
feat,positive
fervent,positive
fervor,positive
fine,positive
finest,positive
flatter,positive
flawless,positive
flourish,positive
fond,positive
foremost,positive
foresight,positive
free,positive
freed,positive
freedom,positive
fresh,positive
fresher,positive
frugal,positive
ftw,positive
fun,positive
gain,positive
gem,positive
generous,positive
genial,positive
genius,positive
glad,positive
glee,positive
gleeful,positive
glitter,positive
glorious,positive
glow,positive
godsend,positive
gold,positive
golden,positive
good,positive
gorgeous,positive
grace,positive
gracious,positive
grand,positive
great,positive
greatest,positive
grin,positive
gush,positive
hail,positive
hallmark,positive
happier,positive
harmless,positive
headway,positive
heal,positive
hearten,positive
heartfelt,positive
heaven,positive
hero,positive
heroic,positive
honest,positive
honor,positive
hot,positive
hottest,positive
hug,positive
humor,positive
ideal,positive
impress,positive
indebted,positive
jovial,positive
joy,positive
joyous,positive
keen,positive
laud,positive
lavish,positive
lead,positive
lean,positive
led,positive
lighter,positive
like,positive
love,positive
lover,positive
loyal,positive
lucid,positive
luck,positive
luckier,positive
luckiest,positive
lush,positive
luster,positive
magic,positive
marvel,positive
master,positive
merit,positive
modern,positive
modest,positive
nice,positive
nourish,positive
outdo,positive
outperform,positive
outsmart,positive
outwit,positive
painless,positive
pamper,positive
paramount,positive
pardon,positive
passion,positive
patient,positive
patriot,positive
peerless,positive
pep,positive
perfect,positive
pleasant,positive
poetic,positive
popular,positive
precious,positive
prefer,positive
premier,positive
priceless,positive
pride,positive
prize,positive
profound,positive
progress,positive
prompt,positive
proper,positive
pros,positive
prosper,positive
protect,positive
protection,positive
proud,positive
proven,positive
prowess,positive
prudent,positive
pure,positive
quaint,positive
quicker,positive
quiet,positive
radiant,positive
rapid,positive
rapt,positive
rational,positive
reaffirm,positive
reclaim,positive
recommend,positive
redeem,positive
reform,positive
refresh,positive
refund,positive
regard,positive
relent,positive
relief,positive
relish,positive
renown,positive
resound,positive
respect,positive
revel,positive
reward,positive
rich,positive
richer,positive
right,positive
righteous,positive
robust,positive
romantic,positive
safe,positive
saint,positive
sane,positive
saver,positive
savior,positive
scenic,positive
seamless,positive
sensation,positive
sharp,positive
sharper,positive
shine,positive
silent,positive
simpler,positive
simplest,positive
skill,positive
slick,positive
smart,positive
smarter,positive
smile,positive
smitten,positive
smooth,positive
smoother,positive
soft,positive
softer,positive
solid,positive
spectacular,positive
splendor,positive
stainless,positive
staunch,positive
steadfast,positive
stellar,positive
straightforward,positive
strong,positive
stronger,positive
strongest,positive
succeed,positive
success,positive
super,positive
superb,positive
superior,positive
support,positive
surmount,positive
surpass,positive
surreal,positive
survivor,positive
sweet,positive
sweeten,positive
sweetheart,positive
swift,positive
talent,positive
tempt,positive
tender,positive
thank,positive
thinner,positive
thrill,positive
thrive,positive
top,positive
tough,positive
tougher,positive
toughest,positive
traction,positive
tranquil,positive
triumph,positive
triumphal,positive
triumphant,positive
trump,positive
trumpet,positive
trust,positive
unreal,positive
upheld,positive
uphold,positive
uplift,positive
valiant,positive
valor,positive
vibrant,positive
vigilant,positive
virtuous,positive
vivid,positive
vouch,positive
warm,positive
warmer,positive
warmth,positive
well,positive
whoa,positive
willing,positive
win,positive
winner,positive
wisdom,positive
wise,positive
won,positive
wonder,positive
woo,positive
work,positive
worth,positive
wow,positive
zeal,positive
zenith,positive
